.imp,state,year,race_ethn,fc_entries,fc_total_contact,fc_tpr
1,AK,2005,AIAN,477,1398,227
1,AK,2005,API,17,34,4
1,AK,2005,Black,74,253,56
1,AK,2005,Latinx,27,66,3
1,AK,2005,White,235,654,78
1,AK,2006,AIAN,530,1534,106
1,AK,2006,API,30,52,6
1,AK,2006,Black,100,270,10
1,AK,2006,Latinx,13,51,4
1,AK,2006,White,224,709,74
1,AK,2007,AIAN,538,1691,156
1,AK,2007,API,22,65,2
1,AK,2007,Black,90,298,46
1,AK,2007,Latinx,19,59,6
1,AK,2007,White,251,797,75
1,AK,2008,AIAN,560,1744,305
1,AK,2008,API,23,68,5
1,AK,2008,Black,78,264,55
1,AK,2008,Latinx,16,52,7
1,AK,2008,White,218,729,106
1,AK,2009,AIAN,562,1765,209
1,AK,2009,API,24,58,5
1,AK,2009,Black,71,244,39
1,AK,2009,Latinx,18,55,5
1,AK,2009,White,241,723,80
1,AK,2010,AIAN,496,1650,191
1,AK,2010,API,34,71,5
1,AK,2010,Black,73,243,27
1,AK,2010,Latinx,33,75,15
1,AK,2010,White,251,711,102
1,AK,2011,AIAN,552,1588,195
1,AK,2011,API,36,79,9
1,AK,2011,Black,70,212,29
1,AK,2011,Latinx,28,87,6
1,AK,2011,White,227,703,93
1,AK,2012,AIAN,572,1651,194
1,AK,2012,API,26,83,11
1,AK,2012,Black,71,216,26
1,AK,2012,Latinx,20,69,4
1,AK,2012,White,227,708,97
1,AK,2013,AIAN,598,1713,180
1,AK,2013,API,35,79,10
1,AK,2013,Black,100,232,36
1,AK,2013,Latinx,25,74,11
1,AK,2013,White,260,744,135
1,AK,2014,AIAN,700,1854,225
1,AK,2014,API,46,99,9
1,AK,2014,Black,84,253,33
1,AK,2014,Latinx,37,76,7
1,AK,2014,White,295,827,101
1,AK,2015,AIAN,832,2133,208
1,AK,2015,API,58,129,15
1,AK,2015,Black,135,308,32
1,AK,2015,Latinx,67,120,8
1,AK,2015,White,421,969,116
1,AK,2016,AIAN,747,2128,220
1,AK,2016,API,74,174,5
1,AK,2016,Black,131,336,40
1,AK,2016,Latinx,38,135,8
1,AK,2016,White,346,1091,135
1,AK,2017,AIAN,827,2362,180
1,AK,2017,API,48,178,28
1,AK,2017,Black,116,357,31
1,AK,2017,Latinx,33,126,18
1,AK,2017,White,304,1084,138
1,AK,2018,AIAN,869,2404,162
1,AK,2018,API,77,205,17
1,AK,2018,Black,103,351,35
1,AK,2018,Latinx,20,111,21
1,AK,2018,White,268,969,135
1,AK,2019,AIAN,917,2544,221
1,AK,2019,API,66,198,17
1,AK,2019,Black,146,385,28
1,AK,2019,Latinx,34,106,14
1,AK,2019,White,333,983,148
1,AL,2004,AIAN,13,25,2
1,AL,2004,API,7,16,0
1,AL,2004,Black,1532,4334,597
1,AL,2004,Latinx,102,191,14
1,AL,2004,White,1944,4570,587
1,AL,2005,AIAN,6,23,0
1,AL,2005,API,4,15,1
1,AL,2005,Black,1569,4773,349
1,AL,2005,Latinx,128,243,23
1,AL,2005,White,2135,5282,503
1,AL,2006,AIAN,2,17,1
1,AL,2006,API,5,13,2
1,AL,2006,Black,1650,4879,143
1,AL,2006,Latinx,139,269,3
1,AL,2006,White,1993,5451,257
1,AL,2007,AIAN,10,23,2
1,AL,2007,API,15,22,0
1,AL,2007,Black,1622,4931,210
1,AL,2007,Latinx,171,338,11
1,AL,2007,White,2119,5585,338
1,AL,2008,AIAN,1,25,0
1,AL,2008,API,6,17,0
1,AL,2008,Black,1444,4653,226
1,AL,2008,Latinx,141,368,28
1,AL,2008,White,1988,5404,322
1,AL,2009,AIAN,16,49,8
1,AL,2009,API,8,19,0
1,AL,2009,Black,1167,4350,237
1,AL,2009,Latinx,138,384,45
1,AL,2009,White,1750,4874,377
1,AL,2010,AIAN,9,38,0
1,AL,2010,API,8,23,2
1,AL,2010,Black,1149,3541,198
1,AL,2010,Latinx,110,264,30
1,AL,2010,White,1787,4253,315
1,AL,2011,AIAN,10,37,6
1,AL,2011,API,13,22,1
1,AL,2011,Black,1213,3509,182
1,AL,2011,Latinx,193,384,40
1,AL,2011,White,1828,4443,278
1,AL,2012,AIAN,5,32,1
1,AL,2012,API,13,26,0
1,AL,2012,Black,1060,3262,150
1,AL,2012,Latinx,149,386,33
1,AL,2012,White,1535,4199,300
1,AL,2013,AIAN,11,34,6
1,AL,2013,API,21,51,3
1,AL,2013,Black,1268,3134,232
1,AL,2013,Latinx,139,348,32
1,AL,2013,White,1602,3756,375
1,AL,2014,AIAN,5,24,0
1,AL,2014,API,19,60,6
1,AL,2014,Black,1153,3086,200
1,AL,2014,Latinx,153,362,35
1,AL,2014,White,1862,3988,306
1,AL,2015,AIAN,2,16,1
1,AL,2015,API,24,54,7
1,AL,2015,Black,1301,3106,155
1,AL,2015,Latinx,166,385,29
1,AL,2015,White,2112,4428,275
1,AL,2016,AIAN,8,20,0
1,AL,2016,API,29,58,0
1,AL,2016,Black,1317,3173,152
1,AL,2016,Latinx,194,420,32
1,AL,2016,White,2224,4710,336
1,AL,2017,AIAN,11,29,3
1,AL,2017,API,16,39,3
1,AL,2017,Black,1480,3413,192
1,AL,2017,Latinx,206,448,33
1,AL,2017,White,2381,5081,433
1,AL,2018,AIAN,16,30,0
1,AL,2018,API,24,41,4
1,AL,2018,Black,1491,3611,226
1,AL,2018,Latinx,154,428,32
1,AL,2018,White,2376,5400,469
1,AL,2019,AIAN,13,33,0
1,AL,2019,API,16,40,4
1,AL,2019,Black,1443,3763,235
1,AL,2019,Latinx,198,459,36
1,AL,2019,White,2315,5444,517
1,AR,2004,AIAN,23,77,21
1,AR,2004,API,30,56,6
1,AR,2004,Black,1049,2143,231
1,AR,2004,Latinx,166,237,17
1,AR,2004,White,2218,3876,530
1,AR,2005,AIAN,36,96,13
1,AR,2005,API,45,72,3
1,AR,2005,Black,1103,2194,184
1,AR,2005,Latinx,168,260,31
1,AR,2005,White,2263,3988,349
1,AR,2006,AIAN,36,90,3
1,AR,2006,API,44,73,4
1,AR,2006,Black,1371,2486,110
1,AR,2006,Latinx,185,332,17
1,AR,2006,White,2288,4074,252
1,AR,2007,AIAN,42,97,6
1,AR,2007,API,44,79,2
1,AR,2007,Black,1325,2559,49
1,AR,2007,Latinx,186,320,14
1,AR,2007,White,2489,4349,179
1,AR,2008,AIAN,45,94,8
1,AR,2008,API,41,73,9
1,AR,2008,Black,1129,2396,203
1,AR,2008,Latinx,266,408,23
1,AR,2008,White,2290,4224,332
1,AR,2009,AIAN,32,100,15
1,AR,2009,API,51,81,5
1,AR,2009,Black,1340,2539,209
1,AR,2009,Latinx,210,399,39
1,AR,2009,White,2527,4454,355
1,AR,2010,AIAN,51,108,20
1,AR,2010,API,49,93,11
1,AR,2010,Black,1097,2304,388
1,AR,2010,Latinx,204,401,46
1,AR,2010,White,2574,4566,559
1,AR,2011,AIAN,56,123,7
1,AR,2011,API,47,93,8
1,AR,2011,Black,1081,2240,125
1,AR,2011,Latinx,225,412,22
1,AR,2011,White,2446,4637,372
1,AR,2012,AIAN,54,123,8
1,AR,2012,API,58,99,9
1,AR,2012,Black,1049,2150,118
1,AR,2012,Latinx,209,402,39
1,AR,2012,White,2475,4738,339
1,AR,2013,AIAN,42,107,9
1,AR,2013,API,47,99,8
1,AR,2013,Black,1018,2089,236
1,AR,2013,Latinx,208,372,38
1,AR,2013,White,2483,4744,552
1,AR,2014,AIAN,47,116,28
1,AR,2014,API,38,84,26
1,AR,2014,Black,827,1954,215
1,AR,2014,Latinx,194,376,49
1,AR,2014,White,2436,4681,529
1,AR,2015,AIAN,73,149,23
1,AR,2015,API,72,118,9
1,AR,2015,Black,1151,2172,178
1,AR,2015,Latinx,185,388,56
1,AR,2015,White,2583,4933,491
1,AR,2016,AIAN,81,181,18
1,AR,2016,API,44,109,11
1,AR,2016,Black,985,2246,172
1,AR,2016,Latinx,181,398,46
1,AR,2016,White,2812,5350,554
1,AR,2017,AIAN,50,163,22
1,AR,2017,API,56,126,10
1,AR,2017,Black,963,2279,211
1,AR,2017,Latinx,182,378,34
1,AR,2017,White,2526,5598,643
1,AR,2018,AIAN,47,144,25
1,AR,2018,API,40,108,9
1,AR,2018,Black,821,2152,204
1,AR,2018,Latinx,173,385,53
1,AR,2018,White,2042,5021,657
1,AR,2019,AIAN,55,148,14
1,AR,2019,API,42,105,9
1,AR,2019,Black,874,1979,193
1,AR,2019,Latinx,186,394,51
1,AR,2019,White,1914,4605,621
1,AZ,2004,AIAN,454,873,104
1,AZ,2004,API,55,120,19
1,AZ,2004,Black,839,1832,352
1,AZ,2004,Latinx,2564,4862,827
1,AZ,2004,White,3257,6610,1151
1,AZ,2005,AIAN,525,1046,64
1,AZ,2005,API,61,123,8
1,AZ,2005,Black,908,2089,189
1,AZ,2005,Latinx,2705,5632,604
1,AZ,2005,White,3346,7148,714
1,AZ,2006,AIAN,586,1249,80
1,AZ,2006,API,87,152,11
1,AZ,2006,Black,938,2162,194
1,AZ,2006,Latinx,2691,6061,621
1,AZ,2006,White,3155,7338,724
1,AZ,2007,AIAN,522,1159,109
1,AZ,2007,API,68,135,8
1,AZ,2007,Black,967,2163,220
1,AZ,2007,Latinx,2780,6025,703
1,AZ,2007,White,3019,6950,775
1,AZ,2008,AIAN,617,1254,55
1,AZ,2008,API,87,160,15
1,AZ,2008,Black,1225,2395,214
1,AZ,2008,Latinx,2983,6216,654
1,AZ,2008,White,3154,6897,740
1,AZ,2009,AIAN,516,1187,108
1,AZ,2009,API,91,173,18
1,AZ,2009,Black,1046,2462,273
1,AZ,2009,Latinx,2941,6411,871
1,AZ,2009,White,2898,6619,875
1,AZ,2010,AIAN,588,1218,124
1,AZ,2010,API,95,181,17
1,AZ,2010,Black,1076,2408,264
1,AZ,2010,Latinx,2864,6518,818
1,AZ,2010,White,3228,6714,827
1,AZ,2011,AIAN,635,1342,124
1,AZ,2011,API,109,184,23
1,AZ,2011,Black,1213,2635,376
1,AZ,2011,Latinx,3084,6766,973
1,AZ,2011,White,3441,7207,938
1,AZ,2012,AIAN,818,1567,110
1,AZ,2012,API,107,224,28
