year,state,child,race_ethn,pop,pl280,admission_year
1990,AK,adult,AIAN,51420,Mandatory,1959
1990,AK,adult,API,13634,Mandatory,1959
1990,AK,adult,Black,14405,Mandatory,1959
1990,AK,adult,Latinx,8543,Mandatory,1959
1990,AK,adult,White,287786,Mandatory,1959
1990,AK,child,AIAN,35794,Mandatory,1959
1990,AK,child,API,6501,Mandatory,1959
1990,AK,child,Black,8260,Mandatory,1959
1990,AK,child,Latinx,5196,Mandatory,1959
1990,AK,child,White,121751,Mandatory,1959
1990,AL,adult,AIAN,10731,Non-PL280,1819
1990,AL,adult,API,15690,Non-PL280,1819
1990,AL,adult,Black,682364,Non-PL280,1819
1990,AL,adult,Latinx,13772,Non-PL280,1819
1990,AL,adult,White,2277457,Non-PL280,1819
1990,AL,child,AIAN,5493,Non-PL280,1819
1990,AL,child,API,6179,Non-PL280,1819
1990,AL,child,Black,341834,Non-PL280,1819
1990,AL,child,Latinx,6312,Non-PL280,1819
1990,AL,child,White,690223,Non-PL280,1819
1990,AR,adult,AIAN,8736,Non-PL280,1836
1990,AR,adult,API,8365,Non-PL280,1836
1990,AR,adult,Black,238338,Non-PL280,1836
1990,AR,adult,Latinx,10845,Non-PL280,1836
1990,AR,adult,White,1469369,Non-PL280,1836
1990,AR,child,AIAN,3620,Non-PL280,1836
1990,AR,child,API,3884,Non-PL280,1836
1990,AR,child,Black,137032,Non-PL280,1836
1990,AR,child,Latinx,6462,Non-PL280,1836
1990,AR,child,White,469935,Non-PL280,1836
1990,AZ,adult,AIAN,124239,Optional,1912
1990,AZ,adult,API,42055,Optional,1912
1990,AZ,adult,Black,74800,Optional,1912
1990,AZ,adult,Latinx,402599,Optional,1912
1990,AZ,adult,White,2034364,Optional,1912
1990,AZ,child,AIAN,91701,Optional,1912
1990,AZ,child,API,17120,Optional,1912
1990,AZ,child,Black,40996,Optional,1912
1990,AZ,child,Latinx,254434,Optional,1912
1990,AZ,child,White,601789,Optional,1912
1990,CA,adult,AIAN,197339,Mandatory,1850
1990,CA,adult,API,2117239,Mandatory,1850
1990,CA,adult,Black,1595678,Mandatory,1850
1990,CA,adult,Latinx,4638629,Mandatory,1850
1990,CA,adult,White,13430129,Mandatory,1850
1990,CA,child,AIAN,93327,Mandatory,1850
1990,CA,child,API,875001,Mandatory,1850
1990,CA,child,Black,726693,Mandatory,1850
1990,CA,child,Latinx,2626687,Mandatory,1850
1990,CA,child,White,3658793,Mandatory,1850
1990,CO,adult,AIAN,20547,Non-PL280,1876
1990,CO,adult,API,42914,Non-PL280,1876
1990,CO,adult,Black,91648,Non-PL280,1876
1990,CO,adult,Latinx,260838,Non-PL280,1876
