state,year,aian_jail_pop,aian_prison_pop
AK,2000,32.34,1562
AK,2001,33.38,1729
AK,2002,34.37,1658
AK,2003,35.36,1644
AK,2004,36.4,1675
AK,2005,37.410000000000004,1728
AK,2006,37.01,1827
AK,2007,36.6,1797
AK,2008,36.18,1790
AK,2009,35.79,1866
AK,2010,35.39,2002
AK,2011,34.97,2037
AK,2012,34.56,2109
AK,2013,34.17,NA
AK,2014,34.17,1868
AK,2015,34.17,1919
AK,2016,34.17,1609
AK,2017,34.17,1611
AK,2018,34.17,1679
AL,2000,18.94,3
AL,2001,17.59,2
AL,2002,20.16,3
AL,2003,20.12,0
AL,2004,24.56,4
AL,2005,30.91,3
AL,2006,39,3
AL,2007,35.6,2
AL,2008,36.59,2
AL,2009,36.6,2
AL,2010,40.26,2
AL,2011,41.55,1
AL,2012,44.01,1
AL,2013,43.22,1
AL,2014,42.62,1
AL,2015,41.18,1
AL,2016,36.74,1
AL,2017,36.35,2
AL,2018,24.77,1
AR,2000,27.96,9
AR,2001,27.05,6
AR,2002,28.09,4
AR,2003,27.84,9
AR,2004,27.97,9
AR,2005,20.29,14
AR,2006,19.09,16
AR,2007,25.61,20
AR,2008,26.89,27
AR,2009,29.55,28
AR,2010,30.39,31
AR,2011,27.599999999999998,40
AR,2012,29.51,34
AR,2013,37.99,41
AR,2014,30.14,52
AR,2015,38.7,49
AR,2016,34.68,58
AR,2017,37.589999999999996,58
AR,2018,22.22,53
AZ,2000,460.46,1267
AZ,2001,545.77,1342
AZ,2002,673.1899999999999,1428
AZ,2003,692.9,1517
AZ,2004,751.01,1597
AZ,2005,831.87,1649
AZ,2006,910.26,1807
AZ,2007,1004.65,2005
AZ,2008,988.04,2054
AZ,2009,1071.43,2105
AZ,2010,986.83,2100
AZ,2011,984.22,1973
AZ,2012,1046.6,1993
AZ,2013,953,2061
AZ,2014,996,2174
AZ,2015,938.21,2223
AZ,2016,962.56,2223
AZ,2017,1049.05,2281
AZ,2018,1003,2249
CA,2000,627.52,1470
